"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1939","Check displaying empty courses list","LMS system","Thu Feb 05 09:35:52 UTC 2026","passed","Thu Feb 05 09:35:54 UTC 2026","Courses","Courses","",""
"","1805","User login with wrong email or password","LMS system","Thu Feb 05 09:35:25 UTC 2026","passed","Thu Feb 05 09:35:27 UTC 2026","Authorization","Authentication","",""
"","1757","User login with wrong email or password","LMS system","Thu Feb 05 09:35:16 UTC 2026","passed","Thu Feb 05 09:35:18 UTC 2026","Authorization","Authentication","",""
"","4875","Edit course","LMS system","Thu Feb 05 09:35:58 UTC 2026","passed","Thu Feb 05 09:36:03 UTC 2026","Courses","Courses","",""
"","1851","Check displaying empty courses list","LMS system","Thu Feb 05 09:35:55 UTC 2026","passed","Thu Feb 05 09:35:57 UTC 2026","Courses","Courses","",""
"","1740","User login with wrong email or password","LMS system","Thu Feb 05 09:35:12 UTC 2026","passed","Thu Feb 05 09:35:14 UTC 2026","Authorization","Authentication","",""
"","10660","User login with correct login and password","LMS system","Thu Feb 05 09:35:31 UTC 2026","passed","Thu Feb 05 09:35:42 UTC 2026","Authorization","Authentication","",""
"","1735","Check dashboard page displaying","LMS system","Thu Feb 05 09:36:08 UTC 2026","passed","Thu Feb 05 09:36:09 UTC 2026","Dashboard","Dashboard","",""
"","2108","Check dashboard page displaying","LMS system","Thu Feb 05 09:36:04 UTC 2026","passed","Thu Feb 05 09:36:06 UTC 2026","Dashboard","Dashboard","",""
"","3042","User login with correct login and password","LMS system","Thu Feb 05 09:35:28 UTC 2026","passed","Thu Feb 05 09:35:31 UTC 2026","Authorization","Authentication","",""
"","3559","User login with correct login and password","LMS system","Thu Feb 05 09:35:20 UTC 2026","passed","Thu Feb 05 09:35:23 UTC 2026","Authorization","Authentication","",""
"","1419","User login with wrong email or password","LMS system","Thu Feb 05 09:35:12 UTC 2026","passed","Thu Feb 05 09:35:14 UTC 2026","Authorization","Authentication","",""
"","2144","User login with wrong email or password","LMS system","Thu Feb 05 09:35:21 UTC 2026","passed","Thu Feb 05 09:35:23 UTC 2026","Authorization","Authentication","",""
"","1351","Navigate from login page to registration page","LMS system","Thu Feb 05 09:35:26 UTC 2026","passed","Thu Feb 05 09:35:28 UTC 2026","Authorization","Authentication","",""
"","1499","User login with wrong email or password","LMS system","Thu Feb 05 09:35:17 UTC 2026","passed","Thu Feb 05 09:35:18 UTC 2026","Authorization","Authentication","",""
"","1394","User login with wrong email or password","LMS system","Thu Feb 05 09:35:11 UTC 2026","passed","Thu Feb 05 09:35:12 UTC 2026","Authorization","Authentication","",""
"","1218","Check displaying empty courses list","LMS system","Thu Feb 05 09:35:52 UTC 2026","passed","Thu Feb 05 09:35:53 UTC 2026","Courses","Courses","",""
"","2187","Registration with correct email, username and password","LMS system","Thu Feb 05 09:35:32 UTC 2026","passed","Thu Feb 05 09:35:34 UTC 2026","Registration","Authentication","",""
"","1463","User login with wrong email or password","LMS system","Thu Feb 05 09:35:14 UTC 2026","passed","Thu Feb 05 09:35:16 UTC 2026","Authorization","Authentication","",""
"","3632","Edit course","LMS system","Thu Feb 05 09:35:59 UTC 2026","passed","Thu Feb 05 09:36:03 UTC 2026","Courses","Courses","",""
"","2604","Registration with correct email, username and password","LMS system","Thu Feb 05 09:35:35 UTC 2026","passed","Thu Feb 05 09:35:38 UTC 2026","Registration","Authentication","",""
"","1660","User login with wrong email or password","LMS system","Thu Feb 05 09:35:09 UTC 2026","passed","Thu Feb 05 09:35:10 UTC 2026","Authorization","Authentication","",""
"","2269","Registration with correct email, username and password","LMS system","Thu Feb 05 09:35:44 UTC 2026","passed","Thu Feb 05 09:35:46 UTC 2026","Registration","Authentication","",""
"","3025","Create course","LMS system","Thu Feb 05 09:35:43 UTC 2026","passed","Thu Feb 05 09:35:46 UTC 2026","Courses","Courses","",""
"","2173","Navigate from login page to registration page","LMS system","Thu Feb 05 09:35:29 UTC 2026","passed","Thu Feb 05 09:35:31 UTC 2026","Authorization","Authentication","",""
"","2971","Edit course","LMS system","Thu Feb 05 09:35:54 UTC 2026","passed","Thu Feb 05 09:35:57 UTC 2026","Courses","Courses","",""
"","1631","Navigate from login page to registration page","LMS system","Thu Feb 05 09:35:24 UTC 2026","passed","Thu Feb 05 09:35:26 UTC 2026","Authorization","Authentication","",""
"","2459","Create course","LMS system","Thu Feb 05 09:35:48 UTC 2026","passed","Thu Feb 05 09:35:50 UTC 2026","Courses","Courses","",""
"","1705","Check dashboard page displaying","LMS system","Thu Feb 05 09:36:04 UTC 2026","passed","Thu Feb 05 09:36:06 UTC 2026","Dashboard","Dashboard","",""
"","2179","Create course","LMS system","Thu Feb 05 09:35:49 UTC 2026","passed","Thu Feb 05 09:35:51 UTC 2026","Courses","Courses","",""
